city,state,death
New York,New York,73511
Los Angeles,California,26657
Chicago,Illinois,26227
Philadelphia,Pennsylvania,19825
Houston,Texas,16150
Detroit,Michigan,13427
Baltimore,Maryland,11229
Boston,Massachusetts,9520
Memphis,Tennessee,8903
Indianapolis,Indiana,8535
Cleveland,Ohio,8488
Phoenix,Arizona,8190
Seattle,Washington,7710
Kansas City,Kansas,7684
Saint Louis,Missouri,7662
Atlanta,Georgia,7514
Milwaukee,Wisconsin,7028
Portland,Oregon,6439
New Orleans,Louisiana,6392
Miami,Florida,6328
