city,state,death
New York,New York,60690
Los Angeles,California,24471
Chicago,Illinois,20495
Houston,Texas,19377
Philadelphia,Pennsylvania,17400
Las Vegas,Nevada,10865
Detroit,Michigan,10140
Baltimore,Maryland,10119
Columbus,Ohio,10070
Memphis,Tennessee,10014
Indianapolis,Indiana,9836
Tampa,Florida,9630
Birmingham,Alabama,9117
Minneapolis,Minnesota,9087
Phoenix,Arizona,8734
Boston,Massachusetts,7998
Kansas City,Kansas,7355
Portland,Oregon,6568
Seattle,Washington,6401
Milwaukee,Wisconsin,6384
