city,state,death
New York,New York,73511
Los Angeles,California,26657
Chicago,Illinois,26227
Philadelphia,Pennsylvania,19825
Houston,Texas,16150
Detroit,Michigan,13427
Baltimore,Maryland,11229
Boston,Massachusetts,9520
Memphis,Tennessee,8903
Indianapolis,Indiana,8535
