State,2014-2015,2012-2013 (38),2011-2012,2010-2011 (37),2009-2010 (36) (37),2008-2009 (36),2007-2008,2006-2007,2005-2006,2004-2005(revised),2003-2004(revised),2002-2003,2001-2002,2000-2001 (30),1999-2000 (29) (30),1998-1999 (29),1997-1998,1996-1997,1995-1996 (25),1994-1995 (24) (25),1993-1994 (23) (24),1992-1993 (22) (23),1991-1992 (22),1990-1991,1989-1990,1988-1989,1987-1988 (21),1986-1987 (21),1985-1986 (20),1984-1985 (19) (20)
New Jersey,66838,65856,67272,67075,69628,71726,70531,74588,78457,73133,70791,72057,70598,69339,70071,71590,71571,71080,69656,67401,66178,65006,66282,68072,70188,71055,69124,66912,65281,62737
New Mexico,45929,43846,44536,46655,48593,47224,48527,48880,47162,48455,47440,45976,45528,46321,47325,46096,45077,41031,38959,41376,42909,43026,43937,44556,42892,39445,39303,41203,41939,43878
New York,56189,52004,51293,53741,54767,55512,55750,56319,56972,56640,55582,55214,55833,56227,56489,55623,53535,53006,52164,50766,50851,51314,52695,54780,56866,56918,54182,52165,50663,48776
North Carolina,48818,42413,45269,47645,46937,46777,48501,48263,48913,50766,49265,48073,49597,51912,52873,52546,52436,53180,51497,48543,47114,46274,45785,45957,47538,47886,46231,45282,45099,44892
North Dakota,59108,55691,58483,57423,55100,54977,54299,51107,49730,50210,50644,49883,47804,48729,48010,45259,45337,46994,46156,44857,45094,45035,44297,44204,45515,46489,45736,44734,44476,44853
Ohio,51501,46511,46431,48468,50215,51175,53897,55043,53803,53836,55054,56158,56086,57533,57660,56380,54895,52245,52634,52209,50484,51273,51286,51691,53193,53502,52441,51648,52369,51579
Oklahoma,47165,47258,50518,48961,48825,50721,50082,47529,45672,47698,47986,47149,47851,46153,45571,47760,47596,43732,40975,41691,42575,42147,42545,43065,43299,44637,44444,43272,43899,45263
Oregon,59888,55371,53875,54656,54586,55591,57185,56392,54476,52516,52548,54365,55162,56872,58145,57287,55818,54134,54811,53001,51665,53203,52058,51386,52095,53055,51715,50561,48570,46260
Pennsylvania,57812,54240,53090,52561,52760,54901,55978,56179,56590,55768,55335,55658,57111,58139,55887,55214,55979,53887,52936,52054,50416,49779,50515,51294,52001,52235,51131,49949,48606,46148
Rhode Island,57201,58351,54776,53897,56307,57825,60290,62570,61613,60102,58883,56750,58546,59643,59431,59957,55190,53454,55151,52590,52338,52265,51369,54299,55931,56544,56979,55633,53263,49361
South Carolina,45670,45176,44040,43787,45404,45905,48474,48557,47699,48687,49068,49701,50166,51112,51796,50115,49405,51314,48546,46084,44667,43879,46143,48591,47248,46555,49593,47677,43723,43123
South Dakota,54090,53209,50389,49535,49831,53714,54933,53232,52886,51975,51256,50413,51502,51654,50591,49314,45692,44083,45071,46386,45938,44147,42654,42531,43871,43722,42582,41650,39597,40155
Tennessee,45548,43814,44471,43255,43354,44233,45399,47464,47831,47799,48063,48570,48344,47415,49448,50756,47334,45728,45587,45085,42943,40412,40889,40632,40748,40956,41226,39983,37520,36917
Texas,55205,53781,52647,51536,51855,51812,51912,51777,50591,51108,51276,51751,53797,53918,54094,53527,51832,50714,49641,49096,47547,46350,46683,48374,48729,47934,48716,49614,49882,49968
Utah,64857,62149,59355,60061,63102,66729,65018,62705,65371,65178,63666,63277,63216,64410,65485,64953,63691,59369,56056,56454,57175,57266,52137,50299,54872,53693,51821,53606,53640,51575
Vermont,60136,56591,56017,57728,59286,56808,54997,57640,61322,60462,57568,56199,55630,54552,56833,58195,54424,50161,50483,54470,53429,52214,51865,52106,56247,56803,53285,50758,52704,51855
Virginia,63858,67763,66355,65807,66261,67536,67933,67388,65076,63588,67384,67992,66322,66084,64965,64012,63138,61138,57492,57783,59226,61057,62298,61530,62350,62933,61383,60611,60536,58697
Washington,63190,62678,62054,60484,63883,64529,64368,65362,62899,62054,61932,60374,58204,57704,61617,66811,67276,60412,55079,54022,55342,56870,56900,57086,57754,60633,58401,55013,52958,52404
West Virginia,41210,42953,44517,45289,45610,43277,44971,46640,44698,43054,42048,40450,39201,40101,41083,40248,39648,39239,38221,37874,36761,34895,36430,39123,39485,38646,35813,34168,33784,35098
Wisconsin,56786,55511,54828,54800,55619,56482,57490,59692,57478,55787,58505,60050,60590,61380,63518,62521,59190,59256,61744,59653,53668,53238,54002,53445,53902,55363,54803,53600,51700,46967
Wyoming,58340,58024,58408,57097,57255,58340,57219,55510,54786,55618,55901,53613,52779,53857,53772,52115,50228,47903,47652,50590,50012,48795,49668,50576,53168,52691,52983,51856,47513,49083
